NAME,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS
#23 Jamil Manigo,REX6,1,1,100.00%,0,0,0.00%,1.5,0.5,0.0,0.0,0.0
#3 Ty Reddick,REX6,0,1,0.00%,0,1,0.00%,0.0,0.0,0.0,0.0,0.0
#24 Scooter Gillette,REX6,2,2,100.00%,0,0,0.00%,2.0,0.5,0.0,0.0,0.0
#22 Talib Holoman,REX6,0,2,0.00%,0,0,0.00%,1.0,1.5,0.0,0.0,0.0
REX P15,REX6,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
REX P16,REX6,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
REX P17,REX6,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
REX P18,REX6,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
REX P19,REX6,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
REX P20,REX6,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
#3 Josh Sharkey,LOE,13,27,48.15%,5,11,45.45%,12.0,2.3,4.8,1.8,0.0
#10 Tony Carr,LOE,14,24,58.33%,3,8,37.50%,10.5,0.8,0.3,0.8,0.0
#23 Lamar Stevens,LOE,25,45,55.56%,6,15,40.00%,15.3,4.5,0.3,0.0,0.3
# 22 Ahmad Gilbert,LOE,11,32,34.38%,7,23,30.43%,9.5,2.5,0.3,1.5,0.0
#24 Mike Watkins,LOE,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
#15 Khalil Turner,LOE,1,2,50.00%,0,0,0.00%,0.5,0.0,0.0,0.0,0.0
#5 Xzavier Malone,LOE,5,10,50.00%,0,4,0.00%,2.5,2.5,0.5,0.3,0.0
#2 Da'kquan Davis,LOE,4,12,33.33%,0,4,0.00%,4.0,0.3,1.0,0.3,0.0
#4 Deandre Vilmar,LOE,0,0,0.00%,0,0,0.00%,0.0,0.3,0.0,0.0,0.0
#20 Julian Moore,LOE,1,1,100.00%,0,0,0.00%,0.5,1.0,0.0,0.0,0.0
#21 Jon Harrar,LOE,15,18,83.33%,0,0,0.00%,8.5,4.5,0.3,0.0,0.3
#25 Nysier Brooks,LOE,1,2,50.00%,1,1,100.00%,0.8,1.5,0.0,0.0,0.5
#14 Shakore Grant,LOE,0,0,0.00%,0,0,0.00%,0.0,0.5,0.0,0.0,0.3
#4 Myron Gordon,LOE,2,2,100.00%,0,0,0.00%,1.0,0.5,0.3,0.0,0.0
#10 Jazeer Thomas,LOE,0,0,0.00%,0,0,0.00%,0.0,0.3,0.0,0.0,0.0
#5 Rashon Johnson,LOE,5,8,62.50%,0,2,0.00%,2.5,2.3,0.8,0.0,0.0
#12 Troy Harper,LOE,0,1,0.00%,0,1,0.00%,0.0,0.3,0.0,0.0,0.0
LOE P18,LOE,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
LOE P19,LOE,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
LOE P20,LOE,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
#23 Jahlil White,FOE,1,4,25.00%,1,2,50.00%,1.0,0.7,0.7,0.0,0.0
#11 Chris Ings,FOE,12,19,63.16%,3,7,42.86%,11.0,0.3,0.7,0.3,0.0
Will McNair,FOE,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
#22 Jax Clark,FOE,3,4,75.00%,2,3,66.67%,2.7,1.3,0.0,0.3,0.0
#0 ManMan Robert Smith,FOE,13,25,52.00%,2,12,16.67%,9.7,2.0,0.7,0.7,0.0
Jamal Cannadt,FOE,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
#14 Markus Kennedy,FOE,16,27,59.26%,1,4,25.00%,15.0,7.0,0.7,0.0,1.3
#15 Zay Wilmore,FOE,0,1,0.00%,0,0,0.00%,0.0,0.3,0.0,0.3,0.0
Marcus Morris,FOE,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
Markieff Morris,FOE,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
#2 Vinny Simpson,FOE,1,8,12.50%,0,7,0.00%,0.7,1.3,0.3,0.0,0.0
#12 Mustapha Traore,FOE,1,2,50.00%,0,0,0.00%,0.7,0.7,0.0,0.0,0.0
#24 Donta Scott,FOE,20,31,64.52%,4,13,30.77%,16.7,5.3,1.7,0.0,0.0
#4 Nesco,FOE,2,6,33.33%,0,3,0.00%,1.3,0.0,0.3,0.0,0.0
#10 Justin,FOE,2,3,66.67%,0,0,0.00%,1.3,0.7,0.0,0.0,0.0
#3 Asim Wilson,FOE,0,0,0.00%,0,0,0.00%,0.3,0.0,0.0,0.0,0.0
#15 Deshaun Shepard,FOE,4,8,50.00%,0,4,0.00%,3.3,1.0,0.7,0.0,0.0
#2 Jamal Cannady,FOE,1,1,100.00%,0,0,0.00%,0.7,0.0,0.0,0.0,0.0
#20 John Kirkpatrick,FOE,3,3,100.00%,0,0,0.00%,2.0,0.3,1.0,0.0,0.0
FOE P20,FOE,0,0,0.00%,0,0,0.00%,0.0,0.0,0.0,0.0,0.0
Spreadsheet created by Aidan Peyton 2024      Email: notyepakp@gmail.com,,,,,,,,,,,,
